word_ru,definition_ru,word_uz,definition_uz
КУРАЖ,"",JORAT,""
ТЕПЛОТА В ОТНОШЕНИЯХ,"",MUNOSABATLARDA,""
ДЕТИ ИЗРАИЛЯ,"",ISROIL,""
ЛЕСОПАРКОВАЯ ЗОНА,"",O'rmon,""
ХОРОШИЕ ОТНОШЕНИЯ,"",YAXSHI,""
СУДЕЙСКИЕ КАДРЫ,"",HUKAM,""
ТЕПЛЫЕ ОТНОШЕНИЯ,"",ISIQ,""
РЕСПУБЛИКА ФИДЖИ,"",FIJI,""
БЛАГОТВОРИТЕЛЬНОСТЬ,"",HAYRIYA,""
БЛАГОТВОРИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ,"",HAYRIYA,""
БЛАГОТВОРИТЕЛЬНЫЙ МАРАФОН,"",XAYRIYA,""
ПЕРИНА,"",PERINA,""
ПЕДИАТРИЯ,"",PEDIATRIKA,""
МЕЦЕНАТСТВО,"",XUSUSIYAT,""
ЭЛЕКТРОПРОВОДНОСТЬ,"",Elektr,""
ФИЛАНТРОПИЯ,"",HAYYIYYAT,""
РАСКРЫТИЕ ИНФОРМАЦИИ,"",OSHHOR,""
РАСКРЫТИЕ СВЕДЕНИЙ,"",OSHHOR,""
ХИППИ,"",HIPPIE,""
ХИППИЗМ,"",HIPPIZM,""
МЕДИЦИНСКИЙ ИНСТРУМЕНТ,"",TIBBIY,""
ИНСТРУМЕНТ МЕДИЦИНСКИЙ,"",TIBBIY,""
МЕДИЦИНСКИЙ ИНСТРУМЕНТАРИЙ,"",TIBBIY,""
МЕДИНСТРУМЕНТ,"",TIBBIY,""
МОРСКОЙ ТРАНСПОРТ,"",DENGIZ,""
РАЗВИВАЮЩАЯСЯ СТРАНА,"",Rivojlanayotgan,""
ВОЛДЫРЬ,"",BLISTER,""
ОРИОН,"",ORION,""
ВНУТРЕННЕЕ ВОДНОЕ СООБЩЕНИЕ,"",ICHKI,""
ДЕТСКАЯ МЕДИЦИНА,"",BOLALAR,""
БЛАГОТВОРИТЕЛЬНАЯ ПОМОЩЬ,"",XAYRIYA,""
БЛАГОТВОРИТЕЛЬНАЯ АКЦИЯ,"",HAYRIYA,""
ПУЗЫРЕК НА КОЖЕ,"",TERIDAGI,""
ВОЛДЫРЬ НА КОЖЕ,"",TERIDAGI,""
ПУЗЫРЬ НА КОЖЕ,"",TERIDAGI,""
СОЦИАЛЬНЫЙ КРУГ,"",IJTIMOIY,""
РАЗМИНКА,"",QIZDIRISH,""
РОЗЫГРЫШ,"",BERIB,""
ДОСТАТОЧНОСТЬ,"",AKVARLIK,""
КОРЕНОВСК,"",KORENOVSK,""
РАЗЫГРЫВАНИЕ,"",OʻYNAYOR,""
СОЗВЕЗДИЕ ОРИОНА,"",ORION,""
БРАК ГОМОСЕКСУАЛИСТОВ,"",GOMOSEKSALLARNING,""
БРАК МЕЖДУ ГОМОСЕКСУАЛАМИ,"",GOMOSEKSUALLARNING,""
ФИЗИЧЕСКАЯ РАЗМИНКА,"",Jismoniy,""
СОЦИОКУЛЬТУРНАЯ СРЕДА,"",IJTIMOIY-MADANIY,""
СОЦИАЛЬНОЕ ОКРУЖЕНИЕ,"",IJTIMOIY,""
СОЦИАЛЬНАЯ СРЕДА,"",IJTIMOIY,""
КРУГ ОБЩЕНИЯ,"",IJTIMOIY,""
ГОМОСЕКСУАЛЬНЫЙ БРАК,"",GOMOSEKSALLARNING,""
АЗОВ,"",AZOV,""
ТОПКОСТЬ,"",BOTQOQLIK,""
ОДНОПОЛЫЙ БРАК,"",BU,""
ЛЮКСЕМБУРГ,"",LYUKSEMBURG,""
ВЕЛИКОЕ ГЕРЦОГСТВО ЛЮКСЕМБУРГ,"",LUKSEMBURG,""
КОКАИН,"",KOKAIN,""
МЕДИЦИНСКОЕ ОБРАЗОВАНИЕ,"",TIBBIY,""
ХРОНИЧЕСКАЯ БОЛЕЗНЬ,"",Surunkali,""
ХРОНИЧЕСКОЕ ЗАБОЛЕВАНИЕ,"",Surunkali,""
ХРОНИЧЕСКОЕ ТЕЧЕНИЕ,"",Surunkali,""
СТРАНЫ ТРЕТЬЕГО МИРА,"",UCHINCHI,""
ЗНАК ПЕРЕНОСА,"",TRANSFER,""
БРАК МЕЖДУ ОДНОПОЛЫМИ,"",BIR,""
БРАК ГЕЕВ,"",GAYLARNING,""
ГОРОД АЗОВ,"",AZOV,""
РАЗВИВАЮЩЕЕСЯ ГОСУДАРСТВО,"",Rivojlanayotgan,""
БРАК МЕЖДУ ГЕЯМИ,"",GEYLARNING,""
КРЕДИТНО-ДЕНЕЖНЫЙ ОРГАН,"",PUL,""
ФИНАНСОВО-КРЕДИТНЫЙ ОРГАН,"",MOLIYA,""
КРЕДИТНЫЙ ИНСТИТУТ,"",KREDIT,""
КРЕДИТНОЕ УЧРЕЖДЕНИЕ,"",KREDIT,""
КНЯЗЬ,"",SHAHZODA,""
ВЛАДЕТЕЛЬНЫЙ КНЯЗЬ,"",MULK,""
КРЕДИТНАЯ ОРГАНИЗАЦИЯ,"",KREDIT,""
КРЕДИТНО-ФИНАНСОВЫЕ ИНСТИТУТЫ,"",KREDIT,""
БРАК МЕЖДУ ГОМОСЕКСУАЛИСТАМИ,"",GOMOSEKSUALISTLARNING,""
ЮГ ЕВРОПЕЙСКОЙ ЧАСТИ РФ,"",RFning,""
ДЕНЕЖНО-КРЕДИТНОЕ УЧРЕЖДЕНИЕ,"",PUL,""
СТАРШЕКЛАССНИК,"",O‘rta,""
СТАРШЕКЛАССНИЦА,"",O‘rta,""
ФИНАНСОВО-БАНКОВСКОЕ УЧРЕЖДЕНИЕ,"",MOLIYA,""
ФИНАНСОВО-КРЕДИТНОЕ УЧРЕЖДЕНИЕ,"",MOLIYA-KREDIT,""
КРЕДИТНО-ФИНАНСОВАЯ ОРГАНИЗАЦИЯ,"",KREDIT,""
ДОЛГОВЯЗОСТЬ,"",CHAKLIK,""
КРЕДИТНО-ФИНАНСОВОЕ УЧРЕЖДЕНИЕ,"",MOLIYA,""
АККУРАТИСТ,"",ACCURATIST,""
АККУРАТНЫЙ ЧЕЛОВЕК,"",Ehtiyotkor,""
РАЗЪЕДАНИЕ,"",KOROZIYON,""
ШЕГАРКА,"",SHEGARKA,""
АККУРАТИСТКА,"",NATURALIST,""
РАБОТА ЗА ГРАНИЦЕЙ,"",CHET,""
РАБОТА ЗАРУБЕЖОМ,"",CHET,""
МЕДПРЕПАРАТ,"",DORI,""
МЕДИЦИНСКИЙ ПРЕПАРАТ,"",TIBBIY,""
РАБОТА ЗА РУБЕЖОМ,"",CHET,""
УЧЕНИК СТАРШИХ КЛАССОВ,"",O‘rta,""
ФАРМАЦЕВТИЧЕСКИЙ ПРОДУКТ,"",FARMASEVTIKA,""
ФАРМАЦЕВТИЧЕСКАЯ ПРОДУКЦИЯ,"",FARMASEVTIKA,""
ФАРМАЦЕВТИЧЕСКИЙ ПРЕПАРАТ,"",FARMASEVTIK,""
МЕДИКАМЕНТ,"",DORI,""
СРЕДСТВО ДЛЯ ЛЕЧЕНИЯ,"",DAVOLASH,""
ПРЕПАРАТ ДЛЯ ЛЕЧЕНИЯ,"",Davolanish,""
МЕДИКАМЕНТОЗНОЕ СРЕДСТВО,"",DORI,""
ЛЕКАРСТВЕННОЕ СРЕДСТВО,"",DORI,""
ЛЕЧЕБНО-ДИАГНОСТИЧЕСКИЙ ПРЕПАРАТ,"",TERAPEVTIK,""
ЛЕЧЕБНЫЙ ПРЕПАРАТ,"",DORI,""
ЛЕКАРСТВО,"",DORI,""
ФАРМПРЕПАРАТ,"",FARMASEVTIKA,""
ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКИЙ ПРЕПАРАТ,"",DAVOLASH,""
ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКИЙ ПРОДУКТ,"",DAVOLASH,""
ЛЕКАРСТВЕННЫЙ ПРОДУКТ,"",TIRIBIY,""
ФАРМАКОЛОГИЧЕСКОЕ СРЕДСТВО,"",FARMAKOLOGIK,""
ЛЕКАРСТВЕННАЯ ПРОДУКЦИЯ,"",TIRIBIY,""
ЛЕКАРСТВЕННОЕ ВЕЩЕСТВО,"",DORI,""
ТЕРАПЕВТИЧЕСКИЙ ПРЕПАРАТ,"",TERAPEVtik,""
ЛЕКАРСТВЕННЫЙ ПРЕПАРАТ,"",DORI,""
СНАДОБЬЕ,"",DORI,""
ЗАПУГИВАНИЕ,"",Qo'rqitish,""
ПЫШКА,"",DUMMY,""
ПАРАЛИЧ,"",PARALIZ,""
ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ ПРОДУКЦИЯ,"",KIMYOV,""
ГОЛОВА ЧЕЛОВЕКА,"",ODAM,""
ТЕЗКА,"",NAMESAKE,""
СУДЕБНЫЙ ПРИСТАВ-ИСПОЛНИТЕЛЬ,"",sud,""
СУДЕБНЫЙ ИСПОЛНИТЕЛЬ,"",QISQA,""
ПЕНКА,"",KO'PIK,""
ПЕНА,"",KO'PIK,""
ПРОТОКА,"",DUCT,""
ФИНАНСОВО-КРЕДИТНЫЕ ИНСТИТУТЫ,"",MOLIYA-KREDIT,""
КРЕДИТОВАНИЕ КРЕДИТНЫХ ОРГАНИЗАЦИЙ,"",KREDIT,""
КРЕДИТНО-БАНКОВСКОЕ УЧРЕЖДЕНИЕ,"",KREDIT,""
РЕФИНАНСИРОВАНИЕ ЦЕНТРАЛЬНЫМ БАНКОМ,"",MARKAZIY,""
КРАТКОСРОЧНЫЙ КРЕДИТ КОММЕРЧЕСКИМ БАНКАМ,"",TIJORAT,""
ХАЛУПА,"",HALUPA,""
РЕЧНОЙ ПРОТОК,"",DARYO,""
РЕФИНАНСИРОВАНИЕ КРЕДИТНЫХ ОРГАНИЗАЦИЙ,"",KREDIT,""
ЛАЧУГА,"",SHACK,""
РУЛЬ,"",RUL,""
ХИБАРА,"",GIBARA,""
ПОДПОРКА,"",YORDAM,""
ЛАЧУЖКА,"",SHACK,""
ПОДПОРА,"",YORDAM,""
ПЕРЕРАБОТКА САХАРНОЙ СВЕКЛЫ,"",QAND,""
СВЕКЛОСАХАРНОЕ ПРОИЗВОДСТВО,"",lavlagi,""
СТРАНА ЕВРОПЫ,"",EVROPA,""
ГОСУДАРСТВО ЕВРОПЫ,"",EVROPA,""
РАЗНУЗДАННОСТЬ,"",ROBERTI,""
ОГОЛТЕЛОСТЬ,"",QUTURUK,""
ПИЩЕВИК,"",FEEDER,""
ЕВРОПЕЙСКОЕ ГОСУДАРСТВО,"",EVROPA,""
ЕВРОПЕЙСКАЯ СТРАНА,"",EVROPA,""
ПЕНА НА ПОВЕРХНОСТИ,"",YUZAGI,""
ЧАЕПИТИЕ,"",Choy,""
ОСЕТИНСКИЙ ЯЗЫК,"",OSET,""
СОЛНЕЧНЫЙ ЗАЙЧИК,"",SUNNY,""
ГЕОФИЗИК,"",GEOFIZIK,""
РАБОТНИК ПИЩЕВОЙ ПРОМЫШЛЕННОСТИ,"",OZIQ-OVQAT,""
РЕВЕРАНС,"",KIRTSI,""
КРЕСТООБРАЗНОСТЬ,"",CHIMBALIK,""
МЕРЛУШКА,"",Qo'zi,""
ИНФОРМЦЕНТР,"",AXBOROT,""
МЫШЕЧНАЯ СИЛА,"",MUSHAKLAR,""
ИНФОРМАЦИОННЫЙ ЦЕНТР,"",AXBOROT,""
РАБОТНИК ПИЩЕВОЙ ИНДУСТРИИ,"",OZIQ-OVQAT,""
ИНФОРМСЛУЖБА,"",AXBOROT,""
ЦЕНТР ПО ИНФОРМАЦИОННОМУ ОБЕСПЕЧЕНИЮ,"",AXBOROT,""
ЦЕНТР ИНФОРМАЦИОННОГО ОБЕСПЕЧЕНИЯ,"",AXBOROT,""
АВТОНОМНАЯ РЕСПУБЛИКА ГРУЗИИ,"",Gruziya,""
СИЛА МЫШЦ,"",MUSHAKLAR,""
ФИЗИЧЕСКАЯ СИЛА,"",Jismoniy,""
ИНФОЦЕНТР,"",MA'LUMOT,""
МИКРОЭЛЕМЕНТ,"",MIKROELEMENT,""
СЛУЖБА ИНФОРМАЦИИ,"",AXBOROT,""
ИНФОРМАЦИОННАЯ СЛУЖБА,"",AXBOROT,""
СПОРТИВНЫЙ ТУРИЗМ,"",SPOR,""
ГРОМИЛА,"",ORQALI,""
ПОГРОМЩИЦА,"",MOMBER,""
ПОГРОМЩИК,"",POMBER,""
ИНФОРМАЦИОННАЯ ОРГАНИЗАЦИЯ,"",AXBOROT,""
ИНФОРМАЦИОННОЕ УЧРЕЖДЕНИЕ,"",AXBOROT,""
ГРУЗОВОЙ ОБОРОТ,"",YUK,""
ГРУЗООБОРОТ,"",YUK,""
СУХАРИК,"",CRUSKER,""
ПАРАЛИЧ ДЕЯТЕЛЬНОСТИ,"",FAOLIYAT,""
ПРОТОК РЕКИ,"",ANABRANCH,""
ЗА ЧАШКОЙ ЧАЯ,"",BIR,""
РУЛЕВОЕ УСТРОЙСТВО,"",RUL,""
РУКАВ РЕКИ,"",DARYO,""
ФОРМА КРЕСТА,"",KROSS,""
КОНЦЕРТНЫЙ ЗАЛ,"",KONSERT,""
РАСПОРЯДИТЕЛЬНИЦА,"",HOSTESS,""
КИТАЯНКА,"",Xitoy,""
МОСОБЛДУМА,"",MOSOBLDUMA,""
КИТАЕЗА,"",Xitoy,""
РАСПОРЯДИТЕЛЬ,"",MENEJER,""
УЧАСТНИК ПОГРОМА,"",POGROM,""
КИТАЕЦ,"",Xitoy,""
МОСКОВСКАЯ ОБЛАСТНАЯ ДУМА,"",MOSKVA,""
КОНЦЕРТНАЯ ПЛОЩАДКА,"",KONSERT,""
АРИТМИЧНОСТЬ,"",Aritmiya,""
НЕРИТМИЧНОСТЬ,"",RITMIKLIK,""
ОСТЕОХОНДРОЗ,"",OSTEOXONDROZ,""
РАЗМЕРЕННОСТЬ,"",O'lcham,""
МЕРИЛО,"",MERILO,""
ШАЛЕ,"",CHALET,""
ФИЗИЧЕСКИ СУЩЕСТВУЮЩАЯ СУЩНОСТЬ,"",JISMONIY,""
ЦИТИРОВАНИЕ,"",CITATION,""
МЕЖБАНКОВСКИЙ КРЕДИТ,"",BANKLARARASI,""
КАРАЧАЕВСК,"",QARACHAEVSK,""
КОБУРА,"",GAP,""
КРЕДИТОВАНИЕ БАНКОВ,"",BANK,""
МЕЖБАНКОВСКАЯ ССУДА,"",BANKlararo,""
МЕЖБАНКОВСКОЕ КРЕДИТОВАНИЕ,"",BANKlararo,""
ТРИЛЛИОН,"",TRILLION,""
ДИКТАТ,"",DIKTAT,""
"КРЕДИТ, ПРЕДОСТАВЛЕННЫЙ БАНКУ","",BANKGA,""
ПЕРЕХОД ПРАВА ТРЕБОВАНИЯ,"",DAVO,""
КРЕДИТОВАНИЕ КОММЕРЧЕСКИХ БАНКОВ,"",TIJORAT,""
ЧЛЕН СОЮЗА,"",Ittifoq,""
НОРИЛЬЧАНИН,"",NORILSK,""
НОРИЛЬЧАНКА,"",NORILSK,""
КУСКО,"",CUSCO,""
МЕТРОПОЛИЯ,"",METROPOLIS,""
ФОТОМОДЕЛЬ,"",FOTO,""
БЕГСТВО,"",QOCHISH,""
САМОЛЕТНЫЙ ТРАП,"",Samolyot,""
ВРЕМЕННОЕ ПРОЖИВАНИЕ,"",Vaqtinchalik,""
ФИЗИЧЕСКАЯ СУЩНОСТЬ,"",Jismoniy,""
УПРАВЛЕНИЕ ИНФОРМАЦИИ,"",AXBOROT,""
ПЕРЕМЕНА КРЕДИТОРА,"",Qarz,""
КРЕДИТ КОММЕРЧЕСКИМ БАНКАМ,"",TIJORAT,""
КРЕДИТ НА МЕЖБАНКЕ,"",BANKLARARASI,""
ТОЛЧЕЯ,"",Olomon,""
СУТОЛОЧНОСТЬ,"",SHOSCHILIKLIK,""
СУТОЛОКА,"",HUSTLE,""
ЖИТЕЛЬНИЦА НОРИЛЬСКА,"",NORILSK,""
ТОЛКОТНЯ,"",CRUSH,""
КИРОВСК МУРМАНСКОЙ ОБЛАСТИ,"",KIROVSK,""
ЖИТЕЛЬ НОРИЛЬСКА,"",NORILSK,""
ДЕТСКАЯ ПИРАМИДКА,"",BOLALAR,""
ВОЗЛОЖЕНИЕ,"",E'lon,""
МИРНЫЙ ВЗРЫВ,"",TINCHLIK,""
НАПРАВЛЕННЫЙ ВЗРЫВ,"",YO'QILGAN,""
МЯСНОЕ КУШАНЬЕ,"",GO'SHTLI,""
ИНЖЕНЕРНЫЙ ОБЪЕКТ,"",Muhandislik,""
КУШАНЬЕ ИЗ МЯСА,"",GO'SHTLI,""
ТОРЖЕСТВЕННОЕ ВОЗЛОЖЕНИЕ,"",Tantanali,""
ВЗРЫВНОЕ ДЕЛО,"",PORTLAGAN,""
ЦЕНОВОЙ ТРЕНД,"",NARX,""
ИДЕЙНОСТЬ,"",IDEALLIK,""
ИНЖЕНЕРНОЕ СООРУЖЕНИЕ,"",Muhandislik,""
ИНЖЕНЕРНАЯ КОНСТРУКЦИЯ,"",INJENERING,""
РЫНОЧНАЯ ТЕНДЕНЦИЯ,"",BOZOR,""
ДИНАМИКА РЫНКА,"",BOZOR,""
ТРЕНД,"",TREND,""
ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ СООРУЖЕНИЕ,"",MUHENDISLIK,""
РЫНОЧНЫЙ ТРЕНД,"",BOZOR,""
ЧЛЕН ОРГАНИЗАЦИИ,"",TASHKILOT,""
КИРОВСК В МУРМАНСКОЙ ОБЛАСТИ,"",MURMANSK,""
ЧЛЕН ОБЪЕДИНЕНИЯ,"",Assotsiatsiya,""
РОДИЧ,"",NISINLI,""
РОДСТВЕННИК,"",NISINLI,""
РОДНЯ,"",QARINLAR,""
МЯСНОЕ БЛЮДО,"",GO'SHTLI,""
ЛАТИФУНДИСТ,"",LATIFUNDER,""
СРОДСТВЕННИК,"",NISINLI,""
ИМУЩЕСТВЕННЫЙ СПОР,"",MULK,""
ДОБЫЧА ЕСТЕСТВЕННОГО ГАЗА,"",TABIY,""
ТРАНСПОРТНАЯ МАГИСТРАЛЬ,"",TRANSPORT,""
ВЗРЫВНЫЕ РАБОТЫ,"",PORTLASH,""
ДВИЖЕНИЕ РЫНКА,"",BOZOR,""
ЗАЛОГ ГЛАГОЛА,"",FE'L,""
КАТЕГОРИЯ ЗАЛОГА,"",GAROV,""
РАЗРАБОТКА ГАЗА,"",GAZ,""
ПРОИЗВОДСТВО ГАЗА,"",GAZ,""
ДОБЫЧА ПРИРОДНОГО ГАЗА,"",TABIY,""
ТЕНДЕНЦИЯ РЫНКА,"",BOZOR,""
РЫНОЧНАЯ ДИНАМИКА,"",BOZOR,""
ГАЗОВЫЙ ПРОМЫСЕЛ,"",GAZ,""
БУРЕНИЕ НА ГАЗ,"",GAZ,""
ВЫПИЛИВАНИЕ,"",SOTISH,""
ГАЗОДОБЫЧА,"",GAZ,""
ВЫПИЛКА,"",ICH,""
ОБЛАСТНОЙ БЮДЖЕТ,"",MINTAQAVIY,""
ОБЛБЮДЖЕТ,"",OBL,""
РОЯЛИСТ,"",ROYALIST,""
РОЯЛИСТКА,"",ROYALIST,""
ТЕХНИЧНОСТЬ,"",TEXNIKLIK,""
МОНАРХИСТКА,"",MONARCHIST,""
МОНАРХИСТ,"",MONARCHIST,""
СЕНАТОР,"",SENATOR,""
ПРЯМОУГОЛЬНАЯ КАРТОЧКА,"",To'rtburchakli,""
БЮДЖЕТ ОБЛАСТИ,"",MINTAQAVIY,""
С ХОРОШЕЙ ТЕХНИКОЙ,"",YAXSHI,""
УНИВЕРСАЛЬНОСТЬ,"",KO'P,""
УНИВЕРСАЛИЗМ,"",UNIVERSALIZM,""
ВРЕМЕННОЕ ПРИОСТАНОВЛЕНИЕ,"",Vaqtinchalik,""
КОМПЬЮТЕРНЫЙ ВИРУС,"",KOMPYUTER,""
ПРОГРАММНЫЙ ВИРУС,"",DASTURLI,""
ОПОЛЧЕНЕЦ,"",HARBIY,""
ОПОЛЧЕНКА,"",HARBIY,""
ОДИНЦОВСКИЙ Р-Н,"",Odintsovo,""
ДОБЫЧА ГАЗА,"",GAZ,""
ОДИНЦОВСКИЙ РАЙОН,"",ODINTSOVSKY,""
ЭНЦИКЛОПЕДИЯ,"",Entsiklopediya,""
ЭНЦИКЛОПЕДИЧЕСКИЙ СЛОВАРЬ,"",ENTSIKLOPEDIK,""
НЕМКА,"",NEMAN,""
ГЕРМАНСКИЙ НАРОД,"",NEMAN,""
НЕМЕЦ,"",NEMAN,""
ЭНЦИКЛОПЕДИЧЕСКОЕ ИЗДАНИЕ,"",ENTSIKLOPEDIK,""
ХУДОЖЕСТВЕННЫЙ СОВЕТ,"",Badiiy,""
ХУДСОВЕТ,"",RADYATKORLAR,""
СПОРТИВНЫЙ БЕГ,"",SPORT,""
МАТЕРИАЛ КЕДР,"",MATERIAL,""
КЕДРОВАЯ ДРЕВЕСИНА,"",SEDAR,""
НАВЕСНОЙ УДАР,"",OVERHEAD,""
БЕГ НА ДИСТАНЦИЮ,"",MASAFALI,""
РЕКА СВИЯГА,"",SIVIYAGA,""
НАВЕСНАЯ ПЕРЕДАЧА,"",ILIKAM,""
СВИЯГА,"",SVYAGA,""
НУЖНОСТЬ,"",KERAK,""
РАЗРАБОТКА ГАЗОВЫХ МЕСТОРОЖДЕНИЙ,"",GAZ,""
СТЕКЛОИЗДЕЛИЕ,"",Shisha,""
ГОСУДАРСТВЕННЫЙ БЮДЖЕТ ОБЛАСТИ,"",VILOYAT,""
ПЕРЕЕЗД В ДРУГОЕ МЕСТО,"",BOSHQA,""
СТОРОННИК МОНАРХИИ,"",MONARXIYATNING,""
ПЕРЕПРОДАЖА,"",SOTISH,""
ТЕРРОРИСТКА,"",TERRORIST,""
ТЕРРОРИСТ,"",TERRORIST,""
РАЗРАБОТКА ПРИРОДНОГО ГАЗА,"",TABIY,""
УЧАСТНИК ОПОЛЧЕНИЯ,"",HARBIY,""
ТРЕНД НА РЫНКЕ,"",BOZORDAGI,""
ПРОГРАММА ВИРУСА,"",VIRUS,""
ВОЗОБНОВЛЯЕМЫЕ ИСТОЧНИКИ ЭНЕРГИИ,"",Qayta,""
РАЗРАБОТКА МЕСТОРОЖДЕНИЙ ГАЗА,"",GAZ,""
СОРОЧИНСК,"",SOROCHINSK,""
ИЗДЕЛИЕ ИЗ СТЕКЛА,"",Shisha,""
УЧАСТНИК ТЕРРОРИСТИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ,"",TERRORIST,""
ЛОГОВИЩЕ,"",LAIR,""
СЕЛЬХОЗНАУКА,"",QISHLOQ,""
ХАРАКТЕРИСТИКА МУЗЫКАЛЬНОГО ПРОИЗВЕДЕНИЯ,"",MUSIQALI,""
АГРАРНАЯ НАУКА,"",QISHLOQ,""
ЗИМНЯЯ РЕЗИНА,"",Qishki,""
СТЕКЛЯННОЕ ИЗДЕЛИЕ,"",Shisha,""
ВЕРХОВНЫЙ СОВЕТ,"",Oliy,""
ИНКАССАТОР,"",KOLLEKTOR,""
НАБОЙКА,"",TO'PON,""
ИНКАССАТОРСКИЙ РАБОТНИК,"",KOLLEKSİYON,""
ВС,"",Quyosh,""
САН-ДИЕГО,"",SAN,""
ПОЖАТИЕ,"",ELAK,""
ПОЖИМАНИЕ,"",ELAK,""
КОНЧИНА,"",O'LIM,""
СТЕПЕНЬ МАГИСТРА,"",MAGISTR,""
ПРЯМОКРЫЛОЕ НАСЕКОМОЕ,"",Ortoptera,""
МАГИСТЕРСКАЯ СТЕПЕНЬ,"",MAGISTR,""
ВОРЧЛИВОСТЬ,"",QO'RCHILIK,""
ГИБЕЛЬ ЧЕЛОВЕКА,"",INSON,""
СЕЛЬСКОХОЗЯЙСТВЕННАЯ НАУКА,"",QISHLOQ,""
ПОДАЧА ЗАЯВЛЕНИЯ,"",ARZIYAT,""
РОНДО,"",RONDO,""
БРЮЗГЛИВОСТЬ,"",YULMOLILIK,""
НАСТОЛЬНЫЙ КОМПЬЮТЕР,"",ISTOLI,""
ДЕСКТОП,"",Ish,""
ЗИМНЯЯ ШИНА,"",Qishki,""
С/Х НАУКА,"",QISHLOQ,""
ДОМАШНИЙ ВРАЧ,"",UY,""
ДОМАШНИЙ ДОКТОР,"",Uy,""
СЕМЕЙНЫЙ ДОКТОР,"",OILAVIY,""
ВРАЧ ОБЩЕЙ ПРАКТИКИ,"",GP,""
СЕМЕЙНЫЙ ВРАЧ,"",OILAVIY,""
ВОЕВОДСТВО,"",VOIVOSHIP,""
ТЕКСТИЛЬ,"",TEKSTIL,""
ВНЕШНЯЯ ПАМЯТЬ,"",tashqi,""
ТКАНЫЙ МАТЕРИАЛ,"",TO'QINGAN,""
РАКЕТОСТРОЕНИЕ,"",Raketa,""
ТЕКСТИЛЬНЫЙ МАТЕРИАЛ,"",TO'KMASIL,""
ВНЕШНЕЕ ЗАПОМИНАЮЩЕЕ УСТРОЙСТВО,"",tashqi,""
ПРОИЗВОДСТВО РАКЕТ,"",RAKETA,""
ТЕКСТИЛЬНАЯ ТКАНЬ,"",TO'KMASIL,""
АНАПА,"",ANAPA,""
ПОСТУПАТЕЛЬНОЕ ПЕРЕМЕЩЕНИЕ,"",OLGA,""
НАБИВКА ТКАНЕЙ,"",MATO,""
НАБОЙКА ТКАНИ,"",MATO,""
СМЕРТЬ ЧЕЛОВЕКА,"",ODAMNING,""
НАВЕС МЯЧА,"",TO'PNI,""
ПРИЕМ ПЛАТЕЖЕЙ,"",TO'LOVLARNI,""
ВОЕВОДСТВО ПОЛЬШИ,"",POLSHA,""
ЛОГОВО ЖИВОТНОГО,"",HAYVONLAR,""
ВОЕННОЕ ПРОИЗВОДСТВО,"",HARBIY,""
ОБОРОННОЕ ПРОИЗВОДСТВО,"",MUDOFIYA,""
РАКЕТНОЕ ПРОИЗВОДСТВО,"",RAKETA,""
ДРЕВЕСНОЕ СЫРЬЕ,"",Yog'och,""
ЖЕЛОБОК,"",GROOVE,""
ПОСТУПАТЕЛЬНОЕ ДВИЖЕНИЕ,"",OLGA,""
ЖЕЛОБ,"",GUTTER,""
ПАРОВОДЯНОЙ КОТЕЛ,"",Bug',""
КОТЕЛ ПАРОВОЙ,"",Bug',""
ПАРОВОЙ КОТЕЛ,"",Bug',""
РАЗНОПЛАНОВОСТЬ,"",TURLILIK,""
СЕКСОПАТОЛОГИЯ,"",SEKZOPATOLOGIYA,""
ВОЛАТИЛЬНОСТЬ,"",VOLATLILIK,""
ГЛАВА МЕСТНОЙ ИСПОЛНИТЕЛЬНОЙ ВЛАСТИ,"",MAXALLIY,""
ГЛАВА МЕСТНОГО САМОУПРАВЛЕНИЯ,"",MAXALIY,""
МЕРТВОЕ МОРЕ,"",O'LIK,""
ГЛАВА МЕСТНОЙ АДМИНИСТРАЦИИ,"",MAXALIY,""
РУКОВОДИТЕЛЬ МЕСТНОЙ АДМИНИСТРАЦИИ,"",MAXALIY,""
РУКОВОДИТЕЛЬ МЕСТНОГО САМОУПРАВЛЕНИЯ,"",MAXALIY,""
ЛИДЕР МЕСТНОГО САМОУПРАВЛЕНИЯ,"",MAXALLIY,""
БУДДИЙСКАЯ ВЕРА,"",BUDDIST,""
БУДДИЗМ,"",BUDDIZM,""
ПУК,"",BUNCH,""
ЗАТЕЙНИК,"",KOZGAR,""
МАССОВИК,"",MASSOVIK,""
ЗАТЕЙНИЦА,"",KOZGAR,""
РУКОВОДИТЕЛЬ МУНИЦИПАЛЬНОГО ОКРУГА,"",TUMAN,""
ПРОИЗВОДСТВО ВОЕННОЙ ПРОДУКЦИИ,"",HARBIY,""
ВЫПУСК ВОЕННОЙ ПРОДУКЦИИ,"",HARBIY,""
ГЛАВА МУНИЦИПАЛЬНОГО ОКРУГА,"",TUMAN,""
СЕВЕРОАМЕРИКАНЕЦ,"",SHIMOLIY,""
